Day of Simulation,T_atm_pole,T_atm_eq
1,-0.0136986301369863,15
2,-0.0273972602739726,15
3,-0.0410958904109589,15
4,-0.0547945205479452,15
5,-0.0684931506849315,15
6,-0.0821917808219178,15
7,-0.0958904109589041,15
8,-0.1095890410958904,15
9,-0.1232876712328767,15
10,-0.136986301369863,15
11,-0.1506849315068493,15
12,-0.1643835616438356,15
13,-0.1780821917808219,15
14,-0.1917808219178082,15
15,-0.2054794520547945,15
16,-0.2191780821917808,15
17,-0.2328767123287671,15
18,-0.2465753424657534,15
19,-0.2602739726027397,15
20,-0.273972602739726,15
21,-0.2876712328767123,15
22,-0.3013698630136986,15
23,-0.3150684931506849,15
24,-0.3287671232876712,15
25,-0.3424657534246575,15
26,-0.3561643835616438,15
27,-0.3698630136986301,15
28,-0.3835616438356164,15
29,-0.3972602739726027,15
30,-0.410958904109589,15
31,-0.4246575342465753,15
32,-0.4383561643835616,15
33,-0.4520547945205479,15
34,-0.4657534246575342,15
35,-0.4794520547945205,15
36,-0.4931506849315068,15
37,-0.5068493150684932,15
38,-0.5205479452054794,15
39,-0.5342465753424657,15
40,-0.547945205479452,15
41,-0.5616438356164384,15
42,-0.5753424657534246,15
43,-0.5890410958904109,15
44,-0.6027397260273972,15
45,-0.6164383561643836,15
46,-0.6301369863013698,15
47,-0.6438356164383561,15
48,-0.6575342465753424,15
49,-0.6712328767123288,15
50,-0.684931506849315,15
51,-0.6986301369863013,15
52,-0.7123287671232876,15
53,-0.726027397260274,15
54,-0.7397260273972602,15
55,-0.7534246575342465,15
56,-0.7671232876712328,15
57,-0.7808219178082192,15
58,-0.7945205479452054,15
59,-0.8082191780821917,15
60,-0.821917808219178,15
61,-0.8356164383561644,15
62,-0.8493150684931506,15
63,-0.8630136986301369,15
64,-0.8767123287671232,15
65,-0.8904109589041096,15
66,-0.9041095890410958,15
67,-0.9178082191780821,15
68,-0.9315068493150684,15
69,-0.9452054794520548,15
70,-0.958904109589041,15
71,-0.9726027397260273,15
72,-0.9863013698630136,15
73,-1.0,15
74,-1.0136986301369864,15
75,-1.0273972602739725,15
76,-1.0410958904109588,15
77,-1.0547945205479452,15
78,-1.0684931506849313,15
79,-1.0821917808219177,15
80,-1.095890410958904,15
81,-1.1095890410958904,15
82,-1.1232876712328768,15
83,-1.136986301369863,15
84,-1.1506849315068493,15
85,-1.1643835616438356,15
86,-1.1780821917808217,15
87,-1.191780821917808,15
88,-1.2054794520547945,15
89,-1.2191780821917808,15
90,-1.2328767123287672,15
91,-1.2465753424657533,15
92,-1.2602739726027397,15
93,-1.273972602739726,15
94,-1.2876712328767121,15
95,-1.3013698630136985,15
96,-1.3150684931506849,15
97,-1.3287671232876712,15
98,-1.3424657534246576,15
99,-1.3561643835616437,15
100,-1.36986301369863,15
101,-1.3835616438356164,15
102,-1.3972602739726026,15
103,-1.410958904109589,15
104,-1.4246575342465753,15
105,-1.4383561643835616,15
106,-1.452054794520548,15
107,-1.465753424657534,15
108,-1.4794520547945205,15
109,-1.4931506849315068,15
110,-1.506849315068493,15
111,-1.5205479452054793,15
112,-1.5342465753424657,15
113,-1.547945205479452,15
114,-1.5616438356164384,15
115,-1.5753424657534245,15
116,-1.5890410958904109,15
117,-1.6027397260273972,15
118,-1.6164383561643834,15
119,-1.6301369863013697,15
120,-1.643835616438356,15
121,-1.6575342465753424,15
122,-1.6712328767123288,15
123,-1.684931506849315,15
124,-1.6986301369863013,15
125,-1.7123287671232876,15
126,-1.7260273972602738,15
127,-1.7397260273972601,15
128,-1.7534246575342465,15
129,-1.7671232876712328,15
130,-1.7808219178082192,15
131,-1.7945205479452053,15
132,-1.8082191780821917,15
133,-1.821917808219178,15
134,-1.8356164383561642,15
